batch_id,crop_type,region,season,yield_quantity_kg,moisture_content_%,avg_temperature_celsius,transport_delay_hours,equipment_downtime_hours,storage_duration_days,quality_grade,spoilage_loss_%,supply_chain_stage,resource_utilization_%,climate_risk_level,input_cost_per_kg,final_market_price_per_kg,total_input_cost,total_revenue,estimated_profit,profit_margin_%,spoilage_quantity_kg
BATCH00000,Maize,East,Rabi,605.99,13.04,28.3,0.2,2.1,2,C,3.17,Farm,85.74,Medium,4.4,6.01,"₹ 2,666.36","₹ 3,642.00",₹ 975.64,26.79%,19.21
BATCH00001,Barley,West,Kharif,561.7,11.23,26.54,1.9,0.2,27,B,2.44,Farm,64.03,Medium,9.13,11.36,"₹ 5,128.32","₹ 6,380.91","₹ 1,252.59",19.63%,13.71
BATCH00002,Wheat,South,Kharif,568.36,10.58,32.13,0.7,0.4,28,A,9.49,Farm,66.16,High,7.93,12.03,"₹ 4,507.09","₹ 6,837.37","₹ 2,330.28",34.08%,53.94
BATCH00003,Maize,West,Kharif,363.4,12.64,38.61,0.3,0.4,22,C,1.3,Farm,64.38,Low,3.18,13.99,"₹ 1,155.61","₹ 5,083.97","₹ 3,928.35",77.27%,4.72
BATCH00004,Maize,West,Rabi,621.19,9.33,36.74,1.6,0,7,C,2.51,Transit,56.44,High,3.07,7.24,"₹ 1,907.05","₹ 4,497.42","₹ 2,590.36",57.60%,15.59
BATCH00005,Barley,East,Rabi,526.13,17.28,39.91,1.5,0.9,12,B,1.27,Farm,87.64,High,5.04,11.04,"₹ 2,651.70","₹ 5,808.48","₹ 3,156.78",54.35%,6.68
BATCH00006,Wheat,West,Rabi,463.07,16.68,20.45,0.2,1.9,6,A,9.81,Warehouse,52.31,Low,4,9.33,"₹ 1,852.28","₹ 4,320.44","₹ 2,468.16",57.13%,45.43
BATCH00007,Wheat,East,Rabi,514.34,15.08,22.26,2.4,0.5,18,B,9.22,Transit,57.53,Low,7.41,8.83,"₹ 3,811.26","₹ 4,541.62",₹ 730.36,16.08%,47.42
BATCH00008,Maize,North,Rabi,322.38,9.06,32.19,2,1.3,4,A,7.31,Transit,55.27,High,7.65,6.07,"₹ 2,466.21","₹ 1,956.85",-₹ 509.36,-26.03%,23.57
BATCH00009,Rice,North,Rabi,540.87,15.76,36.41,0.4,1,19,A,4.55,Warehouse,91.27,High,9.59,6.34,"₹ 5,186.94","₹ 3,429.12","-₹ 1,757.83",-51.26%,24.61
BATCH00010,Maize,East,Rabi,397.06,16.08,25.7,1.3,0.5,27,C,2.31,Farm,52.2,High,9.66,13.37,"₹ 3,835.60","₹ 5,308.69","₹ 1,473.09",27.75%,9.17
BATCH00011,Maize,North,Kharif,364.73,15.68,24.78,2.5,0.2,13,A,2.6,Transit,83.23,Low,7.61,12.5,"₹ 2,775.60","₹ 4,559.13","₹ 1,783.53",39.12%,9.48
BATCH00012,Maize,South,Rabi,347.76,9.14,35.74,1.5,1.2,20,C,4.71,Transit,52.22,Low,3.04,8.82,"₹ 1,057.19","₹ 3,067.24","₹ 2,010.05",65.53%,16.38
